Elev,Unilogin,Korrekte samlet (%),Emne: Sandsynlighedsregning og test (STX B med CAS) (%),Opgave: 1 (sanogtes_K98IR2LQ_K9SKHAU6),Opgave: 2 (sanogtes_K8OI7KLI_K9SKHAY9),Opgave: 3 (sanogtes_K8OI7KLY_K9SKHARG),Opgave: 4 (sanogtes_K8OI7KLV_K9SKHAS8),Opgave: 5 (sanogtes_K98IR2LT_K9SKHATK),Opgave: 6 (sanogtes_K98IR2L1_K9SKHAYO),Opgave: 7 (sanogtes_K8OI7KM0_K9SKHAQ5),Opgave: 8 (sanogtes_K8OI7KLT_K9SKHASW),Opgave: 9 (sanogtes_K8OI7KLB_K9SKHAZ7),Opgave: 10 (sanogtes_K8OI7KLK_K9SKHAV9)
Anne Birk,anbi4590,60,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Anne Kongshede,anko2430,60,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Camilla Vester Bisholt,cave8313,50,50,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Emma Ravnholt Hede,emra9651,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Helle Vestervig,heve3122,20,20,1.0,0.0,,,1.0,,0.0,0.0,0.0,0.0
Jens Øster Tørslev Kær,jeøs7461,60,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Jørgen Drenderup Skov,jødr4389,0,0,,,,,,,,,,
Jørgen Lindet,jøli2236,60,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Kirsten Amager,kiam7430,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kirsten Knappen,kikn9968,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kirsten København,kikø4312,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kirsten Sadbjerg,kisa2751,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kirsten Storeager,kist2557,0,0,,,,,,,,,,
Kirsten Værholm,kivæ4551,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kirsten Ålling Sø,kiål2393,60,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Maria Flade Sø,mafl2039,0,0,,,,,,,,,,
Maria Lindbjerg,mali1536,70,70,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Mette Brandstub,mebr1581,0,0,,,,,,,,,,
Mikkel Boldrup,mibo9599,80,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Rasmus Veksø,rave9832,0,0,,,,,,,,,,
Thomas Fuglkær Å,thfu8278,20,20,0.0,1.0,,,1.0,0.0,,,,0.0
Thomas Stenstrup,thst1006,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
William Salshøj,wisa2581,50,50,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
